,Address,City,County,FRS Id,Facility Id,Facility Name,Is_Direct_Emitter,Is_Supplier,Latest Reported Industry Type (sectors),Latest Reported Industry Type (subparts),Latitude,Longitude,Parent Company,Parent Ownership %,Primary NAICS Code,State,Unnamed: 0,Last Reporting Year,Zip Code,Total Direct Emissions,Total Supplier Emissions,Total Emissions,GHG Quantity Associated with Coal-based liquid fuel production,GHG Quantity Associated with Petroleum Products Produced,GHG Quantity Associated with Petroleum Products Imported,GHG Quantity Associated with Petroleum Products Exported,GHG Quantity Associated with Natural Gas Supply,GHG Quantity Associated with Natural Gas Liquids Supply,GHG Quantity Associated with CO2 Supply ,Direct Point Emitters,Onshore Oil & Gas Prod.,Gathering & Boosting,Transmission Pipelines,LDC - Direct Emissions,SF6 from Elec. Equip.
10,704 FACTORY STREET,WILKESBORO,WILKES COUNTY,110000492734.0,1000015,"TYSON FARMS, INC.",Yes,No,Other,C,36.143889,-81.163333,TYSON FOODS INC,100.0,311615.0,NC,105669,2023,28697.0,362126.93,0.0,362126.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362126.93,0.0,0.0,0.0,0.0,0.0
11,501 SHEFFIELD ROAD,HARMONY,IREDELL COUNTY,110001478696.0,1000016,TYSON FARMS INCORPORATED HARMONY,Yes,No,Other,C,35.95458,-80.72108,TYSON FOODS INC,100.0,311613.0,NC,105670,2023,28634.0,550341.482,0.0,550341.482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550341.482,0.0,0.0,0.0,0.0,0.0
12,3150 HWY JJ,PALMYRA,MARION COUNTY,110056953765.0,1000017,BASF CORPORATION,Yes,No,Chemicals,C,39.834118,-91.436791,BASF CORP,100.0,325320.0,MO,105671,2023,63461.0,1967184.598,0.0,1967184.598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1967184.598,0.0,0.0,0.0,0.0,0.0
13,2100 E. OVERLAND DR.,SCOTTSBLUFF,SCOTTS BLUFF COUNTY,110000448579.0,1000019,WESTERN SUGAR COMPANY,Yes,No,Minerals,"C,S",41.85942,-103.633,THE WESTERN SUGAR COOPERATIVE,100.0,311313.0,NE,105672,2023,69361.0,3219047.538,0.0,3219047.538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3219047.538,0.0,0.0,0.0,0.0,0.0
14,ONE GLASS PLACE,PORT ALLEGANY,MCKEAN COUNTY,110000332275.0,1000020,Ardagh Glass Inc. (Port Allegany),Yes,No,Minerals,"C,N",41.81787,-78.28699,Ardagh Group Inc,100.0,327213.0,PA,105673,2023,16743.0,865070.34,0.0,865070.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,865070.34,0.0,0.0,0.0,0.0,0.0
15,4241 HIGHWAY 563,SIMSBORO,LINCOLN PARISH,110009576930.0,1000021,Ardagh Glass Inc. (Ruston),Yes,No,Minerals,"C,N",32.543572,-92.766871,ARDAGH GLASS INC,100.0,327213.0,LA,105674,2023,71275.0,1045747.212,0.0,1045747.212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1045747.212,0.0,0.0,0.0,0.0,0.0
16,4501 ATTWATER AVENUE,TEXAS CITY,GALVESTON COUNTY,110000619466.0,1000022,ISP TECHNOLOGIES TEXAS CITY PLANT,Yes,No,Chemicals,C,29.428586,-94.968558,ASHLAND GLOBAL HOLDINGS INC,100.0,325199.0,TX,105675,2023,77590.0,466341.034,0.0,466341.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,466341.034,0.0,0.0,0.0,0.0,0.0
17,1000 NORTH MISSION STREET,SAPULPA,CREEK COUNTY,110000454758.0,1000023,Ardagh Glass Inc. (Sapulpa),Yes,No,Minerals,"C,N",36.009924,-96.099233,ARDAGH GLASS INC,100.0,327213.0,OK,105676,2023,74066.0,1507764.084,0.0,1507764.084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1507764.084,0.0,0.0,0.0,0.0,0.0
18,5801 EAST MARGINAL WAY SOUTH,SEATTLE,KING COUNTY,110000489659.0,1000024,Ardagh Glass Inc. (Seattle),Yes,No,Minerals,"C,N",47.551767,-122.337152,ARDAGH GLASS INC,100.0,327213.0,WA,105677,2023,98134.0,973427.378,0.0,973427.378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,973427.378,0.0,0.0,0.0,0.0,0.0
19,"1940 LA HWY 1, NORTH",PORT ALLEN,WEST BATON ROUGE PARISH,110000449863.0,1000025,PLACID REFINING CO LLC - PORT ALLEN REFINERY,Yes,Yes,"Petroleum Product Suppliers,Refineries","C,MM-REF,Y",30.475803,-91.208107,THE WILLIAM HERBERT HUNT TRUST ESTATE,100.0,324110.0,LA,105678,2023,70767.0,8323958.03,116099283.416552,124423241.446552,0.0,116099283.416552,0.0,0.0,0.0,0.0,0.0,8323958.03,0.0,0.0,0.0,0.0,0.0
20,2201 FIRESTONE PARKWAY,WILSON,WILSON COUNTY,110000347802.0,1000026,Ardagh Glass Inc. (Wilson),Yes,No,Minerals,"C,N",35.7602,-77.8826,ARDAGH GLASS INC,100.0,327213.0,NC,105679,2023,27893.0,1206230.354,0.0,1206230.354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1206230.354,0.0,0.0,0.0,0.0,0.0
21,34th Street and Civic Center Boulevard,Philadelphia,PHILADELPHIA COUNTY,110001120144.0,1000027,The Children\s Hospital of Philadelphia,Yes,No,Other,C,39.94776,-75.19391,THE CHILDREN'S HOSPITAL OF PHILADELPHIA,100.0,622110.0,PA,105680,2023,19104.0,382994.278,0.0,382994.278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,382994.278,0.0,0.0,0.0,0.0,0.0
22,1500 Ardagh Group Drive,PEVELY,JEFFERSON COUNTY,110017984519.0,1000028,Ardagh Glass Inc. (Pevely),Yes,No,Minerals,"C,N",38.29372,-90.39969,ARDAGH GLASS INC,100.0,327213.0,MO,105681,2023,63070.0,1128329.948,0.0,1128329.948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1128329.948,0.0,0.0,0.0,0.0,0.0
23,2424 SOUTHWEST ANDOVER STREET,SEATTLE,KING COUNTY,110015969941.0,1000029,NUCOR STEEL SEATTLE INC,Yes,No,Metals,"C,Q",47.569331,-122.367332,NUCOR CORP,100.0,331110.0,WA,105682,2023,98106.0,1741241.04,0.0,1741241.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1741241.04,0.0,0.0,0.0,0.0,0.0
24,12819 North Skull Valley Rd,Grantsville,TOOELE COUNTY,110069723062.0,1000030,US MAGNESIUM LLC,Yes,No,Metals,C,40.913462,-112.734503,THE RENCO GROUP INC,100.0,331410.0,UT,105683,2023,84029.0,6341342.643,0.0,6341342.643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6341342.643,0.0,0.0,0.0,0.0,0.0
25,19401 W. Deer Valley Rd,Surprise,MARICOPA COUNTY,110035777228.0,1000031,Northwest Regional Landfill,Yes,No,Waste,"C,HH",33.681904,-112.476438,WASTE MANAGEMENT INC,100.0,562212.0,AZ,105684,2023,85387.0,1192091.408758,0.0,1192091.408758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1192091.408758,0.0,0.0,0.0,0.0,0.0
26,2419 State Route 618,BELPRE,WASHINGTON COUNTY,110030900997.0,1000032,KRATON Corporation,Yes,No,Other,C,39.281072,-81.637901,KRATON CORP,100.0,325212.0,OH,105685,2023,45714.0,3431242.994,0.0,3431242.994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3431242.994,0.0,0.0,0.0,0.0,0.0
27,1507 Mount Vernon Ave.,Pomona,LOS ANGELES COUNTY,110028036033.0,1000033,San Gabriel Cogeneration Facility,Yes,No,Power Plants,C,34.05845,-117.775114,ALTAGAS SERVICES (US) INC,100.0,221112.0,CA,73095,2019,91768.0,366328.42,0.0,366328.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366328.42,0.0,0.0,0.0,0.0,0.0
28,1935 EAST EUCLID AVENUE,DES MOINES,POLK COUNTY,110067425799.0,1000034,ADM SOYBEAN PROCESSING - DES MOINES,Yes,No,Other,C,41.626329,-93.583205,ARCHER DANIELS MIDLAND CO,100.0,311224.0,IA,105686,2023,50313.0,2013279.41,0.0,2013279.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013279.41,0.0,0.0,0.0,0.0,0.0
29,5728 E SEBRING WARNER RD,GREENVILLE,DARKE COUNTY,110037615694.0,1000035,THE ANDERSONS MARATHON HOLDINGS LLC,Yes,Yes,"Other,Suppliers of CO2","C,PP",40.081111,-84.591667,MARATHON PETROLEUM CORP,50.0,325193.0,OH,105687,2023,45331.0,2549089.49,0.0,2549089.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2549089.49,0.0,0.0,0.0,0.0,0.0
30,3000 Glendora Ave.,CINCINNATI,HAMILTON COUNTY,110043974287.0,1000036,UNIVERSITY OF CINCINNATI,Yes,No,Other,C,39.13457,-84.50982,UNIVERSITY OF CINCINNATI,100.0,611310.0,OH,105688,2023,45219.0,2187349.352,0.0,2187349.352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2187349.352,0.0,0.0,0.0,0.0,0.0
31,28424 38th Avenue North,Hillsdale,ROCK ISLAND COUNTY,110070276370.0,1000037,TYSON FRESH MEATS INC,Yes,No,"Other,Waste","C,II",41.5514,-90.2256,TYSON FOODS INC,100.0,311611.0,IL,105689,2023,61257.0,485100.814,0.0,485100.814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485100.814,0.0,0.0,0.0,0.0,0.0
32,13983 DODD ROAD,WALLULA,WALLA WALLA COUNTY,110071162155.0,1000038,TYSON FRESH MEATS,Yes,No,"Other,Waste","C,II",46.13672,-118.91564,TYSON FOODS INC,100.0,311611.0,WA,105690,2023,99363.0,1207371.572,0.0,1207371.572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1207371.572,0.0,0.0,0.0,0.0,0.0
33,One Power Lane,Charleroi,WASHINGTON COUNTY,110032937080.0,1000039,GE's Grid Solutions,Yes,Yes,"Import and Export of Equipment Containing Fluorintaed GHGs,Other","C,QQ,SS",40.124713,-79.930463,GENERAL ELECTRIC CO,100.0,335313.0,PA,105691,2023,15022.0,260851.86703,0.0,260851.86703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260851.86703,0.0,0.0,0.0,0.0,0.0
34,5200 Highway 35 & IBP Avenue,DAKOTA CITY,DAKOTA COUNTY,110071161142.0,1000040,"Tyson Fresh Meats, Inc.- Dakota City, NE",Yes,No,Other,C,42.424893,-96.514309,TYSON FOODS INC,100.0,311611.0,NE,105692,2023,68731.0,824348.078,0.0,824348.078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,824348.078,0.0,0.0,0.0,0.0,0.0
35,1514 E THOMAS AVE,MILWAUKEE,MILWAUKEE COUNTY,110001923278.0,1000041,WISCONSIN PAPERBOARD,Yes,No,Pulp and Paper,C,43.06138,-87.89162,GREIF INC,100.0,322130.0,WI,105693,2023,53211.0,595860.256,0.0,595860.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,595860.256,0.0,0.0,0.0,0.0,0.0
36,8615 MANCHESTER STREET,HOUSTON,HARRIS COUNTY,110064434152.0,1000042,Eco-Services HOUSTON PLANT,Yes,No,Chemicals,C,29.71829,-95.27112,ECOVYST INC,100.0,325180.0,TX,105694,2023,77012.0,50746.96,0.0,50746.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50746.96,0.0,0.0,0.0,0.0,0.0
37,"1720 GRANT AVE, GATE 16",TEXAS CITY,GALVESTON COUNTY,110070828261.0,1000043,Linde Inc Texas City Hydrogen Complex,Yes,No,Chemicals,P,29.37452,-94.94151,LINDE GAS NORTH AMERICA LLC,100.0,325120.0,TX,105695,2023,77590.0,18949081.099999998,0.0,18949081.099999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18949081.099999998,0.0,0.0,0.0,0.0,0.0
38,3439 PARK STREET,BAYTOWN,HARRIS COUNTY,110064433885.0,1000044,Eco-Services BAYTOWN PLANT,Yes,No,Chemicals,C,29.74877,-95.00277,ECOVYST INC,100.0,325180.0,TX,105696,2023,77520.0,148585.54,0.0,148585.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148585.54,0.0,0.0,0.0,0.0,0.0
39,19571 WHITFIELD RD,SEDALIA,PETTIS COUNTY,110028676966.0,1000045,TYSON POULTRY INC.-SEDALIA,Yes,No,"Other,Waste","C,II",38.75087,-93.326088,TYSON FOODS INC,100.0,311615.0,MO,105697,2023,65301.0,1243704.958,0.0,1243704.958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1243704.958,0.0,0.0,0.0,0.0,0.0
40,31125 IRONWOOD AVENUE,MORENO VALLEY,RIVERSIDE COUNTY,110017973335.0,1000046,BADLANDS SANITARY LANDFILL,Yes,No,Waste,HH,33.9541,-117.1168,COUNTY OF RIVERSIDE CALIFORNIA,100.0,562212.0,CA,105698,2023,92555.0,925105.554,0.0,925105.554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,925105.554,0.0,0.0,0.0,0.0,0.0
41,29 INDUSTRIAL WAY,ORRINGTON,PENOBSCOT COUNTY,110009913415.0,1000047,PENOBSCOT ENERGY RECOVERY CO.,Yes,No,Waste,C,44.738333,-68.825833,USA ENERGY GROUP LLC,98.88,562213.0,ME,105699,2023,4474.0,1059518.24,0.0,1059518.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1059518.24,0.0,0.0,0.0,0.0,0.0
42,One Allison Way,INDIANAPOLIS,MARION COUNTY,110070030311.0,1000048,"ALLISON TRANSMISSION, Inc.",Yes,No,Other,C,39.779861,-86.240969,ALLISON TRANSMISSION HOLDINGS INC,100.0,336350.0,IN,105700,2023,46222.0,312802.284,0.0,312802.284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312802.284,0.0,0.0,0.0,0.0,0.0
43,2900 LANGE ROAD,RAPID CITY,Pennington,110071159567.0,1000049,Lange,Yes,No,Power Plants,"C,D",44.1212,-103.2608,BLACK HILLS CORP,100.0,221112.0,SD,105701,2023,57702.0,145545.816,0.0,145545.816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145545.816,0.0,0.0,0.0,0.0,0.0
44,13151 HIGHWAY 51,GILLETTE,Campbell,110069499279.0,1000050,Wygen I,Yes,No,Power Plants,D,44.2862,-105.3843,BLACK HILLS CORP,76.5,221112.0,WY,105702,2023,82718.0,11400425.632,0.0,11400425.632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11400425.632,0.0,0.0,0.0,0.0,0.0
45,4887 Bruns Road,Byron,ALAMEDA COUNTY,110070059908.0,1000051,"Mariposa Energy, LLC",Yes,No,Power Plants,D,37.7965,-121.6049,MITSUBISHI CORP (AMERICAS),100.0,221112.0,CA,105703,2023,94514.0,652699.08,0.0,652699.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,652699.08,0.0,0.0,0.0,0.0,0.0
46,37625 W ELLIOT RD,ARLINGTON,Maricopa,110012547431.0,1000052,Mesquite Generating Station,Yes,No,Power Plants,D,33.3451,-112.8638,ONWARD ENERGY LLC,50.0,221112.0,AZ,105704,2023,85322.0,33608878.696,0.0,33608878.696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33608878.696,0.0,0.0,0.0,0.0,0.0
47,1615 BRAESWOOD,HOUSTON,HARRIS COUNTY,110009781995.0,1000053,TEXAS MEDICAL CENTER CENTRAL HEATING AND COOLING SERVICES CORPORATION,Yes,No,Power Plants,C,29.703682,-95.396186,TEXAS MEDICAL CENTER CENTRAL HEATING & COOLING SERVICES CORP,100.0,221330.0,TX,105705,2023,77030.0,1559061.52,0.0,1559061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1559061.52,0.0,0.0,0.0,0.0,0.0
48,2602 Jackson Bluff Road,Tallahassee,LEON COUNTY,110071160313.0,1000054,City of Tallahassee Natural Gas Utility,No,Yes,,"NN-LDC,W-LDC",30.438668,-84.332457,CITY OF TALLAHASSEE FLORIDA,100.0,221210.0,FL,105706,2023,32304.0,41723.4,2168856.9,2210580.3,0.0,0.0,0.0,0.0,2168856.9,0.0,0.0,0.0,0.0,0.0,0.0,41723.4,0.0
49,,,,,1000055,CALPINE NEWARK,,,,,,,Calpine Corporation,100.0,,,45,2010,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,260 COLUMBIA STREET,ADAMS,BERKSHIRE COUNTY,110000308523.0,1000056,SPECIALTY MINERALS,Yes,No,Minerals,"C,S",42.6432,-73.1135,MINERALS TECHNOLOGIES INC,100.0,327410.0,MA,105707,2023,1220.0,1854609.494,0.0,1854609.494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1854609.494,0.0,0.0,0.0,0.0,0.0
51,225 AMSTERDAM CT,MCCARRAN,Storey,110012186240.0,1000057,Tri-Center Naniwa Energy,Yes,No,Power Plants,D,39.5617,-119.5175,MORGAN STANLEY,100.0,221112.0,NV,40235,2015,89434.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,5157 QUINN ROAD,VACAVILLE,Solano,110012509464.0,1000058,CalPeak Power - Vaca Dixon LLC,Yes,No,Power Plants,D,38.3989,-121.9239,GSO Special Situation Fund LP,65.776,221112.0,CA,14820,2012,95688.0,17633.332,0.0,17633.332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17633.332,0.0,0.0,0.0,0.0,0.0
53,4386 Old 69 Road,KIOWA,Pittsburg,110021355816.0,1000059,Tenaska Kiamichi Generating Station,Yes,No,Power Plants,D,34.6831,-95.9349,KIOWA POWER PARTNERS LLC,100.0,221112.0,OK,105708,2023,74553.0,22313814.968000002,0.0,22313814.968000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22313814.968000002,0.0,0.0,0.0,0.0,0.0
54,48303 STATE ROAD 71,LIMON,Lincoln,110022515777.0,1000060,Limon Generating Station,Yes,No,Power Plants,"C,D",39.2038,-103.7005,TRI-STATE GENERATION & TRANSMISSION ASSOC INC,100.0,221112.0,CO,105709,2023,80828.0,630791.036,0.0,630791.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630791.036,0.0,0.0,0.0,0.0,0.0
55,13501 POWHATEN ROAD,COMMERCE CITY,Adams,110006657885.0,1000061,Frank Knutson Station,Yes,No,Power Plants,"C,D",39.9414,-104.6817,TRI-STATE GENERATION & TRANSMISSION ASSOC INC,100.0,221112.0,CO,105710,2023,80022.0,610797.8319999999,0.0,610797.8319999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,610797.8319999999,0.0,0.0,0.0,0.0,0.0
56,149 Temple Drive,KANE,MCKEAN COUNTY,110071162085.0,1000062,MT JEWETT COMPLEX,Yes,No,Minerals,C,41.7,-78.48,KOCH INDUSTRIES INC,100.0,327420.0,PA,105711,2023,16735.0,565573.5157528,0.0,565573.5157528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565573.5157528,0.0,0.0,0.0,0.0,0.0
57,4225 E SOUTH ST,HASTINGS,ADAMS COUNTY,110070244363.0,1000063,CHIEF ETHANOL FUELS INC,Yes,No,Other,C,40.585,-98.318889,CHIEF INDUSTRIES INC,100.0,325193.0,NE,105712,2023,68901.0,2206787.408,0.0,2206787.408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2206787.408,0.0,0.0,0.0,0.0,0.0
58,19430 BEECH AVENUE,SHAFTER,KERN COUNTY,110000516834.0,1000064,LONE STAR GAS LIQUIDS,Yes,Yes,Petroleum and Natural Gas Systems,"C,W-PROC",35.447778,-119.26,PLAINS GP HOLDINGS LP,100.0,211130.0,CA,105713,2023,93263.0,729528.52,8441270.0,9170798.52,0.0,0.0,0.0,0.0,0.0,8441270.0,0.0,729528.52,0.0,0.0,0.0,0.0,0.0
59,2060 SANYO AVE,SAN DIEGO,San Diego,110022882585.0,1000065,CalPeak Power - Border LLC,Yes,No,Power Plants,D,32.5622,-116.9433,"Cogentrix Power Holdings III, LLC",100.0,221112.0,CA,31585,2014,92154.0,47508.872,0.0,47508.872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47508.872,0.0,0.0,0.0,0.0,0.0
60,9950 SOUTH INGOMAR GRADE,LOS BANOS,MERCED COUNTY,110002146080.0,1000066,"INGOMAR PACKING COMPANY, LLC",Yes,No,Other,C,37.07479,-120.877445,INGOMAR PACKING CO,100.0,311421.0,CA,105714,2023,93635.0,1084299.05,0.0,1084299.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1084299.05,0.0,0.0,0.0,0.0,0.0
61,200 NORTH JOHNSON AVE,EL CAJON,San Diego,110001187377.0,1000067,Cuyamaca Energy Facility,Yes,No,Power Plants,D,32.7971,-116.972,SEMPRA ENERGY INC,100.0,221112.0,CA,48747,2016,92020.0,96382.288,0.0,96382.288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96382.288,0.0,0.0,0.0,0.0,0.0
62,15555 APEX POWER PARKWAY,LAS VEGAS,Clark,110070081751.0,1000068,Apex Generating Station,Yes,No,Power Plants,"C,D",36.4178,-114.9622,SOUTHERN CALIFORNIA PUBLIC POWER AUTHORITY,100.0,221112.0,NV,105715,2023,89165.0,11477894.816,0.0,11477894.816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11477894.816,0.0,0.0,0.0,0.0,0.0
63,115 John St,Wallingford,New Haven,110006547870.0,1000069,"Wallingford Energy, LLC",Yes,No,Power Plants,"C,D",41.4486,-72.8358,"LS Power Development, LLC",100.0,221112.0,CT,105716,2023,6460.0,999510.023,0.0,999510.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999510.023,0.0,0.0,0.0,0.0,0.0
64,19000 PERIMETER RD/STE 102,VICTORVILLE,San Bernardino,110070081752.0,1000070,High Desert Power Project,Yes,No,Power Plants,"C,D",34.5953,-117.3647,MIDDLE RIVER POWER LLC,100.0,221112.0,CA,105717,2023,92394.0,19542765.924,0.0,19542765.924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19542765.924,0.0,0.0,0.0,0.0,0.0
65,1055 Pikes Peak Road,Delta,York,110043196528.0,1000071,York Energy Center,Yes,No,Power Plants,"C,D",39.738,-76.3072,CPN MANAGEMENT LP,100.0,221112.0,PA,105718,2023,17314.0,21785814.689999998,0.0,21785814.689999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21785814.689999998,0.0,0.0,0.0,0.0,0.0
66,1111 LOCKHEED MARTIN WAY,SUNNYVALE,SANTA CLARA COUNTY,110000609306.0,1000072,LOCKHEED MARTIN MISSILES & SPACE,Yes,No,Other,C,37.4166,-122.03599,LOCKHEED MARTIN CORP,100.0,336414.0,CA,89485,2021,94089.0,278357.4,0.0,278357.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278357.4,0.0,0.0,0.0,0.0,0.0
